runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
62421,1000,10,step,step,16,272,3.196096783,2.001808408,2.6795453,2.28861332,2.831922835,3.211613283,2.69606944,2.847743038,2.996148654,2.702125258,2.143615275,2.116233863,3.028795637,2.746246395,2.693771773,3.194846003,3.121830603
56799,1000,10,step,step,14,234,2.501163561,5.49971572,4.071656262,4.344696137,4.102888492,2.537285537,3.965511444,2.912843421,4.317965857,4.136261306,2.267334009,2.257892667,3.605193576,4.140920303,4.142140063,2.531407512,2.651837088
95395,1000,10,step,step,23,277,2.974253211,2.66104578,2.924640607,2.797233395,3.028500814,2.903856411,2.986956267,2.944510777,2.227913856,3.038128509,4.978521993,5.07085604,3.438648434,2.982968349,2.879237802,2.904630273,2.920343291
47968,1000,10,step,step,12,220,4.281086565,5.049502484,5.170364138,5.148620272,4.889472334,4.387770244,4.903670274,4.758128688,5.223703656,4.724493027,4.838138226,5.120336197,4.708593914,5.070194898,5.134559543,4.392232167,4.401555726
27464,1000,10,step,step,14,256,3.669492541,4.831511035,4.759100878,4.812812551,4.640841399,3.72786859,4.583128214,4.346625934,4.439524999,4.654815762,6.98273409,7.073633493,4.432215121,4.829175253,4.761949035,3.604885665,4.08789235
29475,1000,10,step,step,18,237,3.355172079,3.062009614,2.974472053,3.09013235,2.9719622,3.391693536,2.932162893,3.145310551,2.936352891,2.960628721,2.600427812,2.546036218,2.598672364,2.954359313,2.941896886,3.436230653,3.366299293
37426,1000,10,step,step,21,268,3.034935558,3.767065464,3.511705851,3.731268249,3.414229936,3.125260027,3.507679394,3.318759237,3.529445291,3.554899741,4.725855336,4.959790217,3.354602358,3.459636845,3.472861117,3.140162778,3.124872064
69618,1000,10,step,step,33,251,3.868961793,4.452968944,4.130656337,4.378327872,3.819584809,3.99916419,3.848584821,4.099024489,4.510279571,4.11458794,3.988495281,4.162846001,4.145588964,4.17041377,4.153779468,3.858793386,4.027718869
86685,1000,10,step,step,22,237,4.017777114,3.866023358,3.850561782,3.769828728,3.955684635,4.06970716,4.004888227,4.086347289,4.160003848,3.692476879,4.151456825,4.148943017,3.688551846,4.039877717,3.876799444,4.028142937,4.098756317
52289,1000,10,step,step,23,255,4.06899347,4.346335297,4.2068042,4.304905705,4.1906151,4.048955401,4.34616417,4.113298966,4.236636448,4.596341432,3.722536539,3.657965222,4.463652668,4.27388287,4.207408855,4.028786258,4.159893772
