id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,noise,bias,N_T,N_C,deg_overlap
35,toy,A-E,2.964914962498103,2.9968577867339663,2.996814359330263,2.7321193169835203,3.2615094016770056,1,0.13504849099323615,1,linear,0.9930000000003929,0.03099999999994907,-0.022487427868546406,0.03194282423586259,100,99.99999999999983,low
36,toy,A-E,3.036605359251961,2.973725746719559,2.973755052599365,2.6958232161205613,3.2516868890781687,1,0.14180195738714463,1,linear,0.9880000000002838,0.032000000000152795,-0.09114186143164416,-0.044231220480587474,99,99,low
37,toy,A-E,3.002362657573471,2.975907040469621,2.976405753703851,2.775730380695952,3.1770811267117502,1,0.10238539439178528,1,linear,0.9970000000002983,0.0319999999992433,-0.07768012273660442,-0.026455617103850138,100,100.00000000000007,low
38,toy,A-E,2.990409620540935,3.004765604986937,3.0055716783934243,2.741289945947266,3.2698534108395827,1,0.13483761859497886,1,linear,1.074999999999818,0.032000000000152795,-0.04229935688169683,0.01435598444600128,100,100,low
39,toy,A-E,3.0217858596381957,3.007770329610996,3.007344680652067,2.7420420571343405,3.2726473041697934,1,0.13535848138659515,1,linear,1.0079999999998108,0.032000000000152795,-0.07422694318255474,-0.014015530027198686,100,99.99999999999999,low
40,toy,A-E,3.0647003985908867,3.0724102559083484,3.0720868473789897,2.80811088905549,3.3360628057024897,1,0.13468161138954077,1,linear,1.0640000000003056,0.03699999999935244,-0.04726314263864064,0.0077098573174607665,100,100,low
41,toy,A-E,2.9721529115353165,3.034300166835341,3.0335162738513564,2.8167460429903852,3.2502865047123275,1,0.11059705656172002,1,linear,1.1109999999998763,0.05700000000069849,-0.014449301710397638,0.062147255300024185,100,100,low
42,toy,A-E,3.018045262496404,3.1297740832704104,3.1301698610609625,2.842601846031995,3.41773787608993,1,0.14671837501477944,1,linear,1.011000000000422,0.032000000000152795,0.05338460382591996,0.11172882077400637,100,100,low
43,toy,A-E,2.974267796864074,3.0211024603183647,3.021034201409171,2.8126141063877532,3.2294542964305886,1,0.10633678317419276,1,linear,1.0100000000002183,0.033999999999650754,0.006870796737348604,0.046834663454290215,100,99.99999999999999,low
44,toy,A-E,2.9986533861834563,3.2141397734994355,3.214687653973764,2.97190313461227,3.4574721733352582,1,0.12386965273545623,1,linear,1.0070000000005166,0.032000000000152795,0.14780540049560878,0.18907850374005264,99,99,low
45,toy,A-E,2.9275063335259057,2.8714414866196822,2.871452009388682,2.622864425664769,3.120039593112595,1,0.12683039985913913,1,linear,1.168999999999869,0.03499999999985448,-0.11048114485602865,-0.05606484690622349,100,100.00000000000003,low
46,toy,A-E,3.007182924057726,3.009243913318353,3.009437201105688,2.8411650300674802,3.1777093721438954,1,0.08585314848888144,1,linear,1.1289999999999054,0.03600000000005821,-0.05652705468512362,0.002060989260626478,100,100,low
47,toy,A-E,2.9611324782534987,3.1726047477492925,3.172752296900743,2.9052172624503356,3.4402873313511506,1,0.13649746655633033,1,linear,1.1729999999997744,0.03499999999985448,0.16249238243001157,0.21147226949579334,100,99.99999999999994,low
48,toy,A-E,3.0094730606433124,3.3810882630433774,3.3813484562948752,3.1527327628352757,3.6099641497544748,0,0.11664065992836713,1,linear,1.1460000000006403,0.033999999999650754,0.3028369006693919,0.37161520240006585,100,100.00000000000001,low
49,toy,A-E,3.011589780804641,2.8452364926653537,2.8455066905935222,2.608854023204689,3.0821593579823556,1,0.12074115683103737,1,linear,1.15099999999984,0.03400000000056025,-0.20395497862468442,-0.16635328813928751,100,99.99999999999999,low
50,toy,A-E,3.0625541776506444,3.08273645753325,3.0826024922990167,2.8740873041861414,3.291117680411892,1,0.10638530005758945,1,linear,1.1010000000005675,0.04199999999946158,-0.030945820780361705,0.020182279882605236,100,100.00000000000001,low
51,toy,A-E,3.059009630855222,3.3168926642267964,3.3179799282973517,2.9930654692199328,3.6428943873747706,1,0.1657726832027647,1,linear,1.0590000000001965,0.03099999999994907,0.17010319476563415,0.23236781400973072,99,99.0000000000002,low
52,toy,A-E,3.0067323593743,3.4520355543119425,3.452904446424613,3.1695194232017982,3.736289469647428,0,0.14458419552184426,1,linear,1.0479999999997744,0.04399999999986903,0.38448691910888505,0.4453031949376438,100,100.00000000000003,low
