runid,nc,nt,f0_sd,num_bins,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle3,aipw3
21,500,100,1,6,0,1,2.908163961117342,3.977140966079785,3.9761536110079065,3.1389049641160485,2.581939164784827,3.319639277661042,3.0668957228530953,3.1930646198516053,3.275094302813435,3.078554761452968,3.250791767442574,3.2268333825946174,2.976069397685733,3.973437972513787,3.977073122205906,3.306462681127957,3.565184623481107
20,500,100,1,6,0,3,2.8445375870850467,4.010067526307591,4.010313702202497,3.1096722474892786,2.6128360265867947,3.026517837156836,3.416960713023686,2.970716226224596,2.856316381770134,2.7775200065632166,2.798957560006045,2.5810328634350217,2.773308115426701,3.998602993848515,4.0143684093683785,2.020157502665239,3.4963894518289775
24,500,100,1,6,0,3,3.2846686867536796,4.1606893988450935,4.1612251570942504,3.380433025261365,2.9166050150056058,3.5506164409635677,3.1218795966223007,3.3867493825157906,3.3197309768666097,3.3064172767873865,3.200813348485682,3.1559525765400327,3.175897508974634,4.167662615359791,4.159773788429806,3.580398516665743,3.799495014284171
25,500,100,1,6,0,2,3.0186388855642643,4.037528502177368,4.044289413721561,3.337374846205816,2.7713613723329953,3.3261642745518496,3.626887709932851,3.221120228614753,3.0713163926686144,3.123516537485129,3.1114694215664116,3.087768642452086,2.970715502744884,3.997259929668135,4.038903473069995,2.9445910049736796,3.3790317059714896
27,500,100,1,6,0,8,3.0244683036671103,3.98308971850068,3.980060505539984,3.318290029429436,2.7230114324957415,3.1812413391506396,4.369498212126385,3.200809731515082,3.274788498920916,3.1225942074632664,2.9382414392328986,2.932456517544667,2.570765291248173,3.9935126139475265,3.97258105755901,2.323899497495359,3.6020692025214394
26,500,100,1,6,0,11,3.058313440692076,4.202828487606512,4.2042625479529026,3.3465436527465338,2.74153009695043,3.44621710488998,3.163579324543746,3.316952176241493,3.2240181401257946,3.24636837218279,2.9493963514718144,2.9513081235203584,3.13568057327673,4.182672245262629,4.209090541558945,2.6980205761991263,3.6102646059677457
29,500,100,1,6,0,7,2.9744641106819407,4.120544736123487,4.11892223084267,3.3691100968191243,2.9006438283473086,3.255388510267718,3.634536134008915,3.280413882787972,3.266504933556699,3.1888750850853373,3.2334487216977577,3.2236375531967134,3.126931030271201,4.133842489641019,4.119594336976195,2.626436334739122,3.684379394111839
30,500,100,1,6,0,0,2.9654581201813084,4.064629568468614,4.069567569461731,3.12874978858126,2.531689257916806,3.1617708757253977,3.662848735524017,3.071433419794237,2.7085358804468367,3.01502502907581,2.747162661529684,2.9413487351130705,3.0438664570123466,4.108143904864079,4.074961363313878,2.7616390746752852,3.5586023685943715
23,500,100,1,6,0,3,3.175011040162229,4.323762604057319,4.321428408040081,3.3876935875008627,2.8452502717586468,3.28428116100355,3.288668106742951,3.2038334301833835,2.922380823409635,3.057860765425282,2.6118838753192177,2.7664328066351063,2.8355900829163554,4.301963118703618,4.328371692222152,2.051692084795936,3.676057124982075
28,500,100,1,6,0,2,3.180026725381299,4.186456039251963,4.18354970564949,3.3899009474468835,2.8739373685259664,3.2576801266648716,3.7565563495571017,3.205409386074228,3.2192528721368836,3.0977104485072875,2.969517606529318,3.19035318557859,2.8748100156394916,4.142141683435491,4.191125839787562,2.9894166067467145,3.682954939101739
