id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,,
7,kang,Bayesian_mu_correct,0,1.456790353,-0.076816891,-0.163590555,0.006492775,1,0.047235654,1,kang_correct,,
8,kang,Bayesian_mu_correct,0,-0.905681424,0.067930347,-0.036581413,0.160625947,1,0.049725333,1,kang_correct,,
9,kang,Bayesian_mu_correct,0,0.354746599,-0.04682093,-0.12937152,0.044454061,1,0.046758237,1,kang_correct,,
10,kang,Bayesian_mu_correct,0,0.799947148,-0.081559937,-0.177741477,0.026773075,1,0.051844231,1,kang_correct,,
11,kang,Bayesian_mu_correct,0,3.284760595,-0.390349345,-0.47902291,-0.271373905,0,0.050544696,1,kang_correct,,
12,kang,Bayesian_mu_correct,0,2.39123009,0.090349475,-0.012927843,0.186681961,1,0.051571432,1,kang_correct,,
13,kang,Bayesian_mu_correct,0,-0.023380811,0.104885657,-0.001036586,0.221619515,1,0.054498985,1,kang_correct,,
14,kang,Bayesian_mu_correct,0,0.665113883,-0.037839413,-0.131401906,0.063327878,1,0.0506193,1,kang_correct,,
15,kang,Bayesian_mu_correct,0,1.715573103,-0.237789951,-0.320002673,-0.14260926,0,0.04687233,1,kang_correct,,
16,kang,Bayesian_mu_correct,0,-0.554859504,0.063922448,-0.058729264,0.163831843,1,0.05275031,1,kang_correct,,
17,kang,Bayesian_mu_correct,0,1.594358865,0.366403702,0.253275288,0.476412457,0,0.057082086,1,kang_correct,,
18,kang,Bayesian_mu_correct,0,1.050968422,-0.145303693,-0.254378616,-0.040487561,0,0.051950334,1,kang_correct,,
19,kang,Bayesian_mu_correct,0,3.628375664,-0.077491866,-0.205043693,0.025616979,1,0.05496966,1,kang_correct,,
20,kang,Bayesian_mu_correct,0,0.599684006,-0.039956987,-0.150550825,0.07037548,1,0.05506333,1,kang_correct,,
21,kang,Bayesian_mu_correct,0,-2.469515554,0.098663622,0.005996476,0.190487517,0,0.046812351,1,kang_correct,,
22,kang,Bayesian_mu_correct,0,0.471328794,0.110780552,0.003939337,0.218915887,0,0.052659511,1,kang_correct,,
23,kang,Bayesian_mu_correct,0,0.247346403,0.093228452,-0.015904392,0.203970535,1,0.054347964,1,kang_correct,,
24,kang,Bayesian_mu_correct,0,-0.630612633,-0.1732566,-0.274790205,-0.075624166,0,0.05064139,1,kang_correct,,
25,kang,Bayesian_mu_correct,0,4.590439236,0.001130369,-0.104831263,0.111779396,1,0.055218063,1,kang_correct,,
26,kang,Bayesian_mu_correct,0,-0.995269121,-0.260872663,-0.369771973,-0.151023917,0,0.054179037,1,kang_correct,,
27,kang,Bayesian_mu_correct,0,2.616007627,-0.008449178,-0.109113576,0.089702281,1,0.052137957,1,kang_correct,,
28,kang,Bayesian_mu_correct,0,-0.621614912,-0.128094002,-0.22373937,-0.011963477,0,0.05408752,1,kang_correct,,
29,kang,Bayesian_mu_correct,0,0.164965541,0.048762727,-0.051613019,0.142141057,1,0.050239444,1,kang_correct,,
30,kang,Bayesian_mu_correct,0,2.119098988,-0.046566521,-0.131807008,0.027644799,1,0.044719668,1,kang_correct,,
31,kang,Bayesian_mu_correct,0,1.336193852,0.063166038,-0.025918912,0.16148006,1,0.051012885,1,kang_correct,,
32,kang,Bayesian_mu_correct,0,1.222726042,-0.268579134,-0.366819001,-0.173283853,0,0.053726106,1,kang_correct,,
33,kang,Bayesian_mu_correct,0,-1.61130857,-0.247805578,-0.343156564,-0.15219179,0,0.049901769,1,kang_correct,,
34,kang,Bayesian_mu_correct,0,-0.472836942,0.049657235,-0.066722664,0.145195828,1,0.05198316,1,kang_correct,,
35,kang,Bayesian_mu_correct,0,3.733603659,0.046707208,-0.048541922,0.150440049,1,0.05288283,1,kang_correct,,
36,kang,Bayesian_mu_correct,0,0.628482196,0.236192326,0.141915379,0.333248123,0,0.050410408,1,kang_correct,,
37,kang,Bayesian_mu_correct,0,-2.457958574,0.224782303,0.122099721,0.314631749,0,0.050592371,1,kang_correct,,
38,kang,Bayesian_mu_correct,0,-0.704129849,0.037221134,-0.067414792,0.1276178,1,0.050124563,1,kang_correct,,
39,kang,Bayesian_mu_correct,0,-1.503513993,-0.042588109,-0.129922051,0.07010871,1,0.051756568,1,kang_correct,,
40,kang,Bayesian_mu_correct,0,0.53108538,-0.126083192,-0.212970768,-0.0326064,0,0.04924714,1,kang_correct,,
41,kang,Bayesian_mu_correct,0,-0.737141613,-0.07365725,-0.167735776,0.016630403,1,0.051001742,1,kang_correct,,
